Slide,slide_no_to_be_made,chart,widget_id,Columns,chart_creat_type,chart_category,my_legends_col,my_chart_col,x_axis_interval,chart_key_param,no_col_row,scale_shape_manual,weight,special_case,chart_pri_axis,chart_sec_axis,Division,graph_lim,function_param,chart_type,chart_source,chart_title,chart_sub_title,slide_heading,slide_sub_heading,Note,Comment
2,,A,[2213063],"['Relevant_Date','Passenger Vehicle']",table,3 table,,,12 months,"[0.10,10,0.60,0.60,0.60,0.60,4]","[1,3]",Null,FALSE,FALSE,"[60,130]",null,3,90,"['','FALSE','FALSE','FALSE','FALSE','FALSE','FALSE','FALSE','FALSE','','FALSE','','center','80','FALSE']",siam,In `000,Domestic Sales Performance,,Q3 (Oct-Dec),,,
2,,A,[2213059],"['Relevant_Date','Commercial Vehicle']",table,3 table,,,12 months,"[0.10,10,0.60,0.60,0.60,0.60,4]","[1,3]",Null,FALSE,FALSE,"[60,130]",null,3,90,"['','FALSE','FALSE','FALSE','FALSE','FALSE','FALSE','FALSE','FALSE','','FALSE','','center','80','FALSE']",siam,In `000,Domestic Sales Performance,,Q3 (Oct-Dec),,,
2,,A,[2213067],"['Relevant_Date','Three-Wheeler']",table,3 table,,,12 months,"[0.10,10,0.60,0.60,0.60,0.60,4]","[1,3]",Null,FALSE,FALSE,"[60,130]",null,3,90,"['','FALSE','FALSE','FALSE','FALSE','FALSE','FALSE','FALSE','FALSE','','FALSE','','center','80','FALSE']",siam,In `000,Domestic Sales Performance,,Q3 (Oct-Dec),,,
2,,A,[2213071],"['Relevant_Date','Two-Wheeler']",table,3 table,,,12 months,"[0.10,10,0.60,0.60,0.60,0.60,4]","[1,3]",Null,FALSE,FALSE,"[60,130]",null,3,90,"['','FALSE','FALSE','FALSE','FALSE','FALSE','FALSE','FALSE','FALSE','','FALSE','','center','80','FALSE']",siam,In `000,Domestic Sales Performance,,Q3 (Oct-Dec),,,
2,,B,[2230626],"['Relevant_Date','Passenger Vehicle']",table,3 table,,,12 months,"[0.10,10,0.60,0.60,0.60,0.60,4]","[1,3]",Null,FALSE,TRUE,"[60,130]",null,3,90,"['','FALSE','FALSE','FALSE','FALSE','FALSE','FALSE','FALSE','FALSE','','FALSE','','center','80','FALSE']",siam,In `000,Domestic Sales Performance,,CY (Jan-Dec),,,
2,,B,[2230623],"['Relevant_Date','Commercial Vehicle']",table,3 table,,,12 months,"[0.10,10,0.60,0.60,0.60,0.60,4]","[1,3]",Null,FALSE,TRUE,"[60,130]",null,3,90,"['','FALSE','FALSE','FALSE','FALSE','FALSE','FALSE','FALSE','FALSE','','FALSE','','center','80','FALSE']",siam,In `000,Domestic Sales Performance,,CY (Jan-Dec),,,
2,,B,[2230632],"['Relevant_Date','Three-Wheeler']",table,3 table,,,12 months,"[0.10,10,0.60,0.60,0.60,0.60,4]","[1,3]",Null,FALSE,TRUE,"[60,130]",null,3,90,"['','FALSE','FALSE','FALSE','FALSE','FALSE','FALSE','FALSE','FALSE','','FALSE','','center','80','FALSE']",siam,In `000,Domestic Sales Performance,,CY (Jan-Dec),,,
2,,B,[2230634],"['Relevant_Date','Two-Wheeler']",table,3 table,,,12 months,"[0.10,10,0.60,0.60,0.60,0.60,4]","[1,3]",Null,FALSE,TRUE,"[60,130]",null,3,90,"['','FALSE','FALSE','FALSE','FALSE','FALSE','FALSE','FALSE','FALSE','','FALSE','','center','80','FALSE']",siam,In `000,Domestic Sales Performance,,CY (Jan-Dec),,,
2,,C,[2212769],"['Relevant_Date','Passenger Vehicle']",table,3 table,,,12 months,"[0.10,10,0.60,0.60,0.60,0.60,4]","[1,3]",Null,FALSE,FALSE,"[60,130]",null,3,90,"['','FALSE','FALSE','FALSE','FALSE','FALSE','FALSE','FALSE','FALSE','','FALSE','','center','80','FALSE']",siam,In `000,Domestic Sales Performance,,Cumulative - ,,,
2,,C,[2212774],"['Relevant_Date','Three-Wheeler']",table,3 table,,,12 months,"[0.10,10,0.60,0.60,0.60,0.60,4]","[1,3]",Null,FALSE,FALSE,"[60,130]",null,3,90,"['','FALSE','FALSE','FALSE','FALSE','FALSE','FALSE','FALSE','FALSE','','FALSE','','center','80','FALSE']",siam,In `000,Domestic Sales Performance,,Cumulative - ,,,
